academic	adj. 學院的，理論的
mysterious	adj, 神秘的，難以理解的
narrate	v. 敘述
nationality	n. 國籍
natural	adj. 自然的
naughty	adj. 頑皮的，淘氣的
naval	adj. 海軍的
navigation	n. 航海
nearly	adv. 幾乎
needy	adj. 貧窮的
neglect	vt.n. 疏忽，忘記
negligence	n. 過失，疏忽
negligent	adj. 忽略的
negotiate	v. 談判，交涉，議定
nervous	adj. 神經的，易激動的
neutral	adj. 中性的，中立的
neutralize	v. 中合，壓制
nibble	v. 細咬，細食
nimble	adj. 輕快的。靈敏的
nocturnal	adj. 夜間的
nod	v. 點頭，首肯
nominate	vt. 任命
nonsense	n. 胡說，廢話
nostalgia	n. 思鄉，懷舊
notable	adj. 著名的，顯要的
noted	adj. 著名的，知名的
notorious	adj. 臭名昭著的
novelty	n. 新穎，新奇的事物
novice	n. 新信徒，新手
noxious	adj. 有害的，有毒的
nuclear	adj. 原子的
null	adj. 無效的，空的
numb	adj.n. 麻木的
numerous	adj. 眾多的
nurture	n.v. 養育
nutriment	n. 營養品
oasis	n. 綠洲
oath	n. 誓言，誓約，宣誓
obedience	n. 服從，順從
objective	n. 目標，adj. 客觀的
obligatory	adj. 義務的，必需的
obliging	adj. 好施恩的，願幫助的
oblivion	n. 忘卻，遺忘
obscene	adj. 猥褻的
obscure	adj. 模糊的，無名氣的
obscure	v. 掩蓋
observance	n. 遵守
observation	n. 觀察
observe	v. 看到，遵守
obsolete	adj. 過時的
obstacle	n. 障礙
obstinate	adj. 固執的
obstruct	v. 阻礙，妨礙
obtain	vt. 得到
obvious	adj. 明顯的
occasional	adj. 偶然的，臨時的
odor=odour	n. 臭氣，名聲
offensive	adj.  無理的， 攻擊性的
offer	n.v. 提議，提出
offhand	adj. 臨時的，無準備的
offspring	n. 子孫，後代
omit	v. 省略，省去，遺漏
onset	n. 攻擊，開始
opera	n. 歌劇
operate	v. 操縱
operator	n. 接線員
opponent	n. 敵人，對手
opportunity	n. 機會
opposed	adj. 反對的
optimum	adj. 最優的
option	n. 選擇，取捨
opulence	n. 財富，富裕
oracle	n. 神諭
oration	n. 演說
orator	n. 演講者
orbit	n. 軌道
orchestra	n. 管絃樂隊
ordeal	n. 嚴酷的考驗
ore	n. 礦石
organism	n. 生物，有機物
original	adj. 最初的，獨創的
originally	adv. 本來，最初
originate	v. 發起
ornament	n. 裝飾物，裝修
oust	v. 驅逐
outcome	n. 後果，成果
outfit	n. 服裝，裝備，用具
outing	n. 郊遊，遠足
output	n. 產量，輸出量
outrage	v. 激怒，侵犯
outrageous	adj. 暴亂的
outspoken	adj. 坦率直言的
outstanding	adj. 顯著的，傑出的
outwit	v. 哄騙
overbearing	adj. 傲慢的
overdue	adj. 逾期
overflow	n.v. 溢出
overlook	v.忽略，疏忽
oxygen	n. 氧氣
pacify	v. 鎮定，撫慰
pact	n. 協定
painstaking	n.adj. 辛勞，勞苦的
palatable	adj. 味美的
pamphlet	n. 小冊子
panacea	n. 萬靈藥
panic	n. 恐慌
parade	n.v. 遊行
parallel	v. 與…平行， 匹敵，平行的
paraphrase	v. 意譯， 改寫
parasite	n. 寄生蟲，寄生植物
parasitic	adj. 寄生的
partial	adj. 部分，偏袒的
partially	adv. 部分的，不公平的
particle	n. 微粒，顆粒
partisan	adj. 黨派的，派系感強的
party	n. 團體，一夥
passionate	adj. 易怒的，多情的，熱情的
patronage	n. 贊助，資助
peak	n. 高峰，尖端
peck	v. 啄，啄起
peerless	adj. 無一輪比的
penal	adj. 受刑法的，刑事的
penchant	n. 傾向，愛好
pending	adj. 未決的
penetrate	v. 刺穿，進入
peninsula	n. 半島
pensive	adj. 憂愁的，哀思的
penury	n. 貧窮
perceive	v. 察覺到，看見
perceptive	adj. 知覺的
percussion	n. 打擊樂器，震盪
perennial	adj. 長久的，永遠的
perfect	adj. 無暇的，完好無損的
peril	n. 危機，危險的事物
perilous	adj. 危險的
permanent	adj. 永久的
permeate	v. 滲透，透過
permissible	adj. 可容許的
permissive	adj. 許可的
permit	v. 准許
perpetuate	v. 使永恆，使延續
perplex	v. 迷惑，困惑，難住
persevere	v. 堅持，不屈不撓
persistent	adj. 堅持不懈的
personnel	n. 人員，職員
perspective	n. 頭時，遠景，觀點
persuasive	adj. 有說服力的
pertinent	adj. 適當的，切題的
pervade	v. 遍佈，瀰漫
pervert	v. 倒入斜途，曲解
petition	v. 請願，向…請願
petrify	v. 變為化石，使發呆
phase	n. 階段，態
phonetics	n. 語音學
picturesque	adj. 如畫般的，生動的
pierce	v. 穿透，戳穿，洞察
pilferage	n. 偷竊
pious	adj. 虔誠的
pit	n. 坑，地坑，煤礦
pitiful	adj. 慈悲的，可憐的
pivot	n. 軸，關鍵，轉折點
pivotal	adj. 樞紐的，關鍵的
placate	v. 安撫，和解
placid	adj. 安靜的
plague	v. 使苦惱,疫病，災禍
plaintiff	n. 原告
planet	n. 行星
plateau	n. 高原
plausible	adj. 似合理的
playwright	n. 劇作家
plea	n. 懇求
plead	v. 侃辨，懇求
pleasing	adj. 愉快的
pleasure	n. 快樂
pledge	n.v. 誓言，使發誓
plight	n. 情勢，困境
plot	v. 密謀策劃
plumb	adj. 垂直的
plunge	v. 投入
poise	v. 猶豫，平衡，穩定
pollute	v. 污染
ponder	v. 考慮，沉思
ponderous	adj. 沉重的，笨重的
portable	adj. 可攜帶的
portion	n. 一部分
portrait	n. 小巷，畫像，描寫
portray	v. 繪製
pose	v. 構成，擺好姿勢
positive	adj. 積極的
posterity	n. 後代
postpone	v. 延隔
posture	n. 人體的姿勢
potent	adj. 強有力的，有全權的
potential	adj. 可能的，潛在的
poultry	n. 家禽
practical	adj. 實踐的，適用的
preach	v. 說教，布道，鼓吹
precede	v. 先於，領先
precious	adj. 寶貴的，珍貴的
precipitate	v. 降水，加速
precise	adj. 周密的，精確的
preclude	n. 排出，防止
precursor	n. 先兆，先驅
predominate	v. 佔優勢，支配
preeminent	adj. 卓越的
preferable	adj. 更好的，可取的
preference	n. 偏愛，有限，優先權
pregnant	adj. 懷孕的，孕育的
prelude	n. 序幕
premise	v. 提出前提，前提
prescription	n. 指示，藥方
preserve	v. 保存
pressure	n. 壓力，壓迫
prestige	n. 威望，聲望
presume	v. 假定，假設
presumption	n. 推定，猜想
presumptuous	adj. 專橫的
pretend	vt. 偽裝，裝腔
pretentious	adj. 裝腔作勢的
prevail	v. 流行，盛行
prevalent	adj. 普遍的，流行的
prevent	v. 阻礙
previous	adj. 以前的
primary	adj. 最初的，重要的
primitive	adj. 原始的，最初的
principal	n. 校長，adj. 重要的
privilege	n. 特權
probe	v. 探查
probity	n. 正直
proceed	v. 進行
process	n. 過程，處理
proclaim	v. 宣佈，聲明
prod	v. 刺激
prodigal	adj. 浪費的
prodigious	adj. 巨大的
profane	v. 褻瀆
profess	v. 表明
profile	n. 外表，輪廓
profoundly	adv. 深刻的，深度的
profuse	adj. 極其豐富的
progress	n. 前進，發展
proliferate	v. 繁衍
prolific	adj. 多產的
prolong	vt. 拖長，延長
prominent	adj. 卓越的，突出的
promising	adj. 有前途的，有希望的
promote	v. 促進，升職
prompt	v. 迅速的，鼓動
prone	adj. 傾向於
pronounced	adj. 明顯的
prop	v. 支持
propagate	v. 繁衍，宣傳
propel	v. 推進，促進
propensity	n. 傾向
proportion	n.比例，部分
proposal	n. 提案，建議
propose	v. 提出，提議
propriety	n. 適當
proscribe	v. 禁止
prosecute	v.起訴，檢舉
prospect	n. 前景，期望
prospective	adj. 預期的
prosperous	adj. 繁榮的
prosperity	n. 繁榮
protein	n. 蛋白質
protract	v. 延長
protrude	v. 突出
provide	v. 提供
provident	adj. 有遠見的
provision	n. 供應
provoke	vt. 激怒，煽動
proximity	n. 臨近，親近
proxy	n. 代理人
prudent	adj.謹慎的
prune	v. 檢修
puddle	n. 小水窪
punch	v.重擊，打孔
punctual	adj. 守時的
pungent	adj. 辛辣的
purchase	v.n. 購買
purge	v. 消除，洗滌
quaint	adj. 奇異的，不凡的
qualified	adj. 合格的
quality	n. 品質
quantitative	adj. 定量的
quarter	n. 四分之一
quartz	n. 石英
queer	adj. 奇怪的，古怪的
quell	v. 壓制
query	n. 質問，問題, 詢問
quiver	n. 震動
quota	n. 限額，定額
radiant	adj. 絢麗的，容光煥發的
radiate	v. 射出
radical	adj. 根本的，激進的
radius	n. 半徑
rage	n. 激怒，憤怒
ragged	adj. 襤褸的，破爛的
raid	n.v. 襲擊
raise	n. 養殖，募捐
rally	v. 召集，恢復
rank	n. 等級，排序, 排行
ransom	v. 贖金，賠償金
rap	v. 責難，敲擊
rapacious	adj. 貪婪的，強奪的
rapture	v. 狂喜
rashly	adv. 魯莽的
ratify	v. 批准
ratio	n. 比率
ration	n. 定量，配給量
rational	adj. 合理的
ravage	v. 掠奪，破壞
ravenous	adj. 極餓的，貪婪的
ravish	v. 搶奪，使…狂喜
ray	n. 光線
raze	v. 摧毀
readily	adv. 願意的，容易的
realize	v. 實現, 認識到
realm	n. 王國，領域
reason	n. 原因，推論
rebate	n. 返回款，折扣
rebel	n. 謀反，叛徒著
rebellion	v. 造反，叛亂，反抗
rebuke	n.v. 斥責
recall	v. 憶起，記憶
recently	adv. 最近的
reception	n. 接待，招待會，接受
recipient	n. 接受著
reciprocal	adj. 相互的，交往的
reckless	adj. 魯莽的
recluse	n. 隱士
recognition	n. 認識，承認
recognize	v. 認識，認出，承認
recoil	n. 後退，退縮
recollection	n. 記起，回想
recommend	v. 勸告，推薦
reconcile	v. 和解
reconciliation	n. 和解
recover	v. 恢復
recreation	n. 消遣
recruit	v. 徵兵，徵募
rectangle	n. 長方形
redeem	v. 取回，贖回
redress	v. 救濟，補償
reduce	v. 減少，簡化
redundant	adj. 過多的，冗長的
refer	v. 延及，提到
refined	adj. 精緻的， 文雅的
reflection	n. 反映
reform	v. 改革，革新
refresh	v. 使清新，恢復精神
refuge	n. 避難所
refund	v. 退還，償還
refute	v. 駁斥，反駁，駁倒
regimen	n. 政權，養生法
register	v.n.登記
rehabilitate	v. 恢復
rehearse	v. 預演，排練
reign	v.n. 統治
reimburse	v. 償還
reinforce	v. 加強，加固
reiterate	v. 重訴
reject	v. 拋棄，拒收
relapse	v. 復發，回復
relax	v. 鬆弛，放鬆
relentless	adj. 無情的
relevant	adj. 有關的，貼切的
reliable	adj. 可靠的，可信賴的
relieved	adj. 放心的，免除的
religion	n. 宗教
relinquish	v. 放棄
reluctant	adj. 不情願的，勉強的
remarkable	adj. 值得注意的
remedy	n. 治療法，藥物, 治療
remind	v. 提醒
remit	v. 匯寄，赦免
remnant	n. 殘餘，遺跡
remote	adj. 遙遠的，遠程的
remove	v. 移動，搬開，脫掉
renaissance	n. 文藝復興
rend	v. 分離，撕破
render	v. 提供，表達
renounce	v. 放棄，否認
renovate	v. 革新
renowned	adj. 知名的
repel	v. 排斥
replenish	v. 補充
reproach	v. 責備
reproduction	n. 繁殖，複製品
repudiate	v. 批判
repulse	v.n. 排斥，擊退
repulsive	adj. 排斥的
rescue	v.n. 拯救
resemble	v. 象，類似
resent	v. 憎恨
reside	v. 居住
resident	adj. 居住的，常駐的
residue	n. 殘餘
resist	v. 抵抗，堅持
resolute	adj. 堅決的
resolve	n.v. 決定
resolved	adj. 下定決心的
resonance	n. 回聲，反響
respective	adj. 分別的， 各自的
respiration	n. 呼吸
responsible	adj. 有責任的
restore	v. 恢復
restrain	v. 限制
restrict	v. 限制
resume	v. 繼續
retain	v. 保留
retard	vt. 延遲
retort	v. 反駁
retract	v. 縮回，撤回
retrieve	v. 重新找回
reveal	v. 展現，揭露
revelation	n. 顯示，揭露
revenue	n. 收入
revere	v. 尊敬
reverence	n.v. 尊敬
revert	v. 回復
revise	v. 修訂
revive	v. 復活
revoke	v. 取消，撤回
riddle	n. 謎
ridiculous	adj. 荒謬的
rigid	adj. 嚴格的，僵化的
rigor	n. 嚴格，嚴厲
rigorous	adj. 嚴厲的，嚴峻的
rim	n. 邊緣
riot	n. 暴亂，騷動
ripe	adj. 成熟的
risk	v.n. 冒險
rite	n. 宗教儀式
rival	v. 競爭，匹敵， 對手
robust	adj. 強壯的
role	n. 角色，任務
roll	v. 滾動
rot	v. 腐爛
rotten	adj. 腐爛的
rough	adj. 大致的，不平的，粗暴的
routine	n. 常規的
rubbish	n. 垃圾
rudimentary	adj. 根本的，低級的
rugged	adj. 粗糙的，不平的
rumble	v. 隆隆行駛，低沉的說
ruminate	v. 沉思
rupture	v.n. 破裂，決裂
rust	v. 生銹，氧化
rustic	adj. 鄉村的，粗俗的
ruthless	adj. 無情的，冷酷的
sacred	adj. 上帝的，神聖的
saddle	v. 使…負擔
sake	n. 緣故，原因
salvage	v. 救護，搶救
sample	n. 範例，樣品
sane	adj. 理智的，健全的
sanity	n. 神志清楚的
sarcasm	n. 諷刺，挖苦
sarcastic	adj. 諷刺的，挖苦的
sardonic	adj. 諷刺的，嘲笑的
satiate	v. 使..飽享，使..滿足
satire	n. 諷刺文學
satirical	adj. 諷刺的
satisfactory	adj. 令人滿意的
saturate	v. 浸透
save	v. 除了… ， 拯救
savings	n. 儲蓄
savor	n. 嘗味
scale	v. 攀登，規模，尺度，稱，鱗片
scan	v. 劉瀾，掃瞄
scandal	n. 醜聞
scanty	adj. 貧乏的
scarce	adj. 缺乏的，不足的
scare	v.n. 驚嚇，使受驚
scatter	v. 分散
scenery	n. 景色
schedule	n. 時間表，計劃表
scholarship	n. 獎學金
scoop	v. 汲取，挖掘，勺子
scope	n. 範圍，餘地
scorch	v.n. 烤焦，使褪色
scornful	adj. 輕蔑的
scout	n. 巡邏，偵察員，童子軍
scrap	n. 廢料，碎片，廢棄
scratch	n. 刮擦，劃痕
screen	n. 屏幕，遮蔽
scruple	v. 躊躇，顧及
scrupulous	adj. 嚴謹的，講究的
scrutinize	v. 細查
sculpture	n. 雕塑品
sear	v. 燒灼
seasoning	n. 調味品, 作料
seclusion	n. 歸隱，隔離
secrete	v. 分泌
secretion	n. 分泌
sedate	adj. 安靜的
sediment	n. 沉積物，沉澱物
seemingly	adv. 表面上，似乎
segment	n. 部分，片斷
segregate	v. 隔離，分離
seize	v. 奪取， 捕獲
selection	n. 選擇
selfish	adj. 自私的
semester	n. 學期
sensible	adj. 理智的，明顯的，感覺到的
sensitive	adj. 敏感的
sensuous	adj. 感覺的，美感的
sentimental	adj. 傷感的，多愁善感的
sequence	n. 序列
serene	adj. 晴朗的，平靜的
serenity	n. 安靜，從容
serious	adj. 嚴肅的，認真的
sermon	n. 說教
session	n. 會議，一段時間一次
sever	v. 分開，斷絕
severe	adj. 嚴重的，嚴肅的
shabby	adj. 襤褸的，破舊的
shackle	v. 加桎枯，束縛
shade	n. 差別
shaft	n. 軸，柄
shake	v.n. 搖，震動
sallow	adj. 淺的
shameless	adj. 無恥的
sharpen	v. 削尖，使敏銳
shatter	n. 碎片，v. 使粉碎，破碎
shear	v. 修剪
sheathe	v. 入鞘
sheer	 adj. 純粹的，全然的
shield	v. 癖護，保護
shipment	n. 裝船，出貨
shove	v. 推擠
shrewd	adj. 精明的
shrink	v. 收縮
shuffle	v. 攪亂，混合
shun	v. 避開
shy	adj. 害羞的，膽小的
sick	adj. 厭惡的
sicken	v. 使厭倦，使作嘔
siege	n.v. 圍困，圍攻
sigh	n.v. 歎息
significant	adj. 有意義的，重要的
signify	v. 表示，意味著
silica	n. 硅土
silly	adj. 傻的，糊塗的
simulate	vt.偽裝，扮演
simultaneously	adv. 同時的
sin	n. 罪過, 過失
singe	v. 微燒，燙焦
sinister	adj. 邪惡的，不詳的
site	n. 地點
skeptic	n. 懷疑者
skeptical	adj. 懷疑的
sketch	v. 草圖，勾畫
skillful	adj. 熟練的
skim	v. 略讀
skimpy	adj. 吝嗇的，太少的
slacken	v. 鬆弛
slag	n. 渣子
slander	n.v. 造謠，誹謗
slant	n. 斜面，傾斜
slap	v. 掌擊， 拍
slight	adj. 輕微的，微小的
slim	adj. 細長的，苗條的
slippery	adj. 滑的，使人滑跤的
slogan	n. 口號，標語
slope	n. 傾斜，斜面
sloppy	adj. 稀薄的，泥濘的
slovenly	adj. 不潔的，馬虎的
slug	n. 慢吞吞的人
sluggish	adj. 怠惰的
slump	v. 猛然落下
sly	adj. 狡猾的，躲躲閃閃的
smash	v. 破碎
smear	v. 塗，弄髒
smell	v. 發出氣味
smother	v. 使窒息，悶死
snag	n.v. 障礙
snap	v. 猛然斷裂
sneak	v. 潛行
sneer	v. 嘲笑
snobbish	adj. 勢力的，諂上欺下的
sober	adj. 清醒的，適度的
sociable	adj. 友善的，好交際的
sojourn	v.n. 逗留，寄居
solar	adj. 太陽的
sole	adj. 唯一的
solemn	adj. 莊嚴的，隆重的
solicit	v. 懇求，拉客
solicitous	adj. 渴望的，焦慮的
solidly	adv. 牢固的
solitary	adj. 單一的
solitude	n. 與外界隔絕
somewhat	adv. 有點
soothe	v. 安慰，緩和，減輕
souvenir	n. 紀念品
sovereignty	n. 主權
spaceship	n. 太空船
spacious	adj. 廣大的，寬敞的
spawn	v. 產卵
specify	v. 詳述，指定
specimen	n. 標本, 樣品
spectacle	n. 奇觀,景象
spectacular	adj. 引人入勝的， 壯觀的
spectator	n. 旁觀者，觀眾
speculate	v. 推測，沉思
speedy	adj. 快的，迅速的
spew	v. 嘔吐
sphere	n. 球體
spine	n. 脊骨
spineless	adj. 無脊椎的，沒有骨氣的
splash	n.v. 濺,潑
spleen	n.脾臟，
splendid	adj. 燦爛，輝煌的
splendor	n. 光彩，壯麗
spoil	v. 損壞，糟蹋，寵壞
spontaneous	adj. 自發的，本能的
sporadic	adj. 零星的
spot	vt. 認出，地點，污點
spouse	n. 配偶
spout	v. 噴出，湧出
sprawl	v. 擴展，蔓延，伸開手腳
spray	n. 噴霧
spring	n. 泉水， v. 跳躍
sprout	v. 萌芽，長出
spurt	v. 噴出，湧出
squabble	v. 口角，爭論
squad	n. 小隊，班
squander	v. 浪費
square	adj. 正方形的,  n. 平方
squash	v.  壓碎, 南瓜
squeak	n. 吱吱
squeeze	n.v. 擠
stab	v. 刺，戳
stable	adj. 穩定的
staff	n. 全體人員或職員
stagger	v. 蹣跚
stale	adj. 陳腐的
stalk	v. 跟蹤，闊步， n. 莖
stall	n. 廄，攤位
stamina	n. 體力，精力
stand	v. 忍受
startle	v. 大吃一驚
starve	v. 挨餓
static	adj. 靜的， 靜態的
stationary	adj. 固定的
stationery	n. 文具
statistics	n. 統計學
statue	n. 雕像
status	n. 狀況，地位
steadfast	adj. 堅決，堅定, 不變的
steady	adj. 穩步的， v. 使穩定
sterile	adj. 貧瘠的，不育的,  消毒的
stern	adj. 嚴格的，僵化的
sticky	adj. 粘連的
stiff	adj. 硬的，僵直的
still	adv. 依然，靜止
stimulate	v. 刺激，激勵，激發
stingy	adj. 缺乏的，吝嗇的
stipulate	v. 約定，規定
stocky	adj. 結實的，粗短的
stodgy	adj. 難消化的，軀體笨重的
stout	adj. 矮胖的，堅固的
strain	n. 緊張，物種
strait	n. 海峽，困難
strap	n. 皮帶
stray	adj. 漂泊的，走失的
strengthen	v. 加強，鞏固
strenuous	adj. 辛苦的
stride	v. 跨越
strife	n. 衝突，競爭
stringent	adj. 嚴格的，迫切的
strip	v. 剝，奪去， n. 條，帶
strive	v. 努力，奮鬥，力求
stroll	v. 漫步
stubborn	adj. 頑固的
stuffy	adj. 悶熱的，不通風的
stun	v. 使混暈，使目瞪口呆
stunt	v. 阻礙
stunt	n. 驚人的技藝
sturdy	adj. 不屈的，頑強的
subjection	n. 征服，服從
sublimate	v. 使昇華
submerge	v. 淹沒，浸沒
submission	n. 屈服，服從
submissive	adj. 順從的
submit	v. 服從，提交
subordinate	adj. 次要的，附屬的
subsequent	adj. 隨後的，後來的
subsidiary	adj. 支流，輔助的，附屬的
subsist	v. 生存
substantial	adj. 相當的
substantiate	v. 證實，加強
substantive	adj. 實質性的
subtract	v. 減去
subvert	vt. 顛覆，推翻
successful	adj. 成功的
successive	adj. 連續的
succinct	adj. 簡明的，簡潔的
succumb	v. 屈服
sufficient	adj. 足夠的，充分的
suffuse	v. 充滿
suggest	v. 提議，暗示
suitable	adj. 適合的
sullen	adj. 陰沉的
sum	n. 總數，要點
summit	n. 山頂
summon	v. 召喚
superb	adj. 壯麗的，超級的
superficial	adj. 表面的，膚淺的
superintendent	n. 主管，負責人，指揮者
supersede	v. 替代
superstition	n. 迷信
supplant	v. 排擠，取代
supple	adj. 預期的，柔順的
suppose	v. 假象，推測
supreme	adj. 至高的
surmise	v. 預測
surmount	v. 克服，登上，越過
surpass	v. 超過，超越， 勝過
surplus	n. 過剩，剩餘，過剩的
survey	v. 調查
survive	v. 倖免於，活下來
susceptible	adj. 易受感染的
suspect	n. 懷疑，嫌疑犯
suspense	n. 焦慮
suspicion	n. 懷疑
suspicious	adj. 可疑的，猜疑的
sustain	v. 支撐，維持
sustenance	n. 生計，營養物
swarm	n. 群
swell	v. 膨脹
swift	adj. 快速的
symbol	n. 符號
symmetry	n. 對稱，勻稱
sympathetic	adj. 同情的，和諧的
symptom	n. 症狀，症候，徵兆
synchronize	v. 同時發生
synopsis	n. 大綱，梗概
synthetic	adj. 綜合的，合成的
taboo	v.n. 禁忌，禁止
tacit	adj. 心照不宣的，默許的
tackle	v. 處理
tact	n. 老練，機智
tactics	n. 戰術
tag	n. 附加語，標籤
talent	n. 天才，才能，人才
tally	v. 符合
tamper	v. 干預
tangible	adj. 可見的，切實的
tangle	v. 使纏結，使糾纏
tantalize	v. 逗惹，使著急
tardy	adj. 延遲的
tarnish	v. 使晦暗，使敗壞
taste	v. 品味，味道
taunt	v. 嘲笑
tease	v. 逗樂，戲弄，強求
tedious	adj. 冗長乏味的，沉悶的
teem	v. 充滿
temperament	n. 氣質，性情
temperance	n. 節制，自制，戒酒
temperate	adj. 適度的，有節制的
temperature	n. 溫度
temporal	adj. 一時的，暫時的
temporary	adj. 臨時的
tempt	v. 誘使
tenacious	adj. 抓住不放的，頑強的
tenant	n. 租戶，房客
tendency	n. 趨勢
tender	adj. 細心的，考慮周到的，嫩的
tense	n. 時態，adj. 緊張的
tentative	adj. 暫時的，試驗性的
tenuous	adj. 細的，稀薄的
tepid	adj. 微溫的
terminate	v. 終止
terrify	vt. 使恐怖，使驚嚇
terror	n. 恐怖
testify	v. 證明，證實，作證
testimony	n. 證言
textile	n. 紡織物，adj. 紡織的
thaw	v. 使融化，使溶解
theft	n. 偷竊
theoretical	adj. 理論的
thermometer	n. 溫度計
thesis	n. 學位，論文
threaten	vt. 威脅
threshold	n. 門檻
thrift	n. 節約
thrive	v. 繁榮，旺盛
throng	n. 群眾
thrust	vt. 力推
thump	v. 重擊
tide	n. 潮汐，潮流
tilted	v. 傾斜的
timber	n. 木材，木料
timid	adj. 膽怯的，羞怯的
tingle	v. 刺痛，激動
tint	n. 色，染色
tiny	adj. 小的，極小的
tip	v. 跳門，接觸
tissue	n. 組織
titanic	adj. 巨大的， 有力的
toe	n. 腳趾
tolerable	adj. 可容忍的
tolerate	vt. 忍受，容忍，寬恕
toll	n. 稅
toll	v. 鳴
torment	v.n. 痛苦，折磨
torpid	adj. 遲鈍的，不活潑的
torturous	adj. 痛苦的
touching	adj. 動人的，令人感傷的
touchy	adj. 易怒的，棘手的
tow	v. 托引，牽引
tower	n. 塔， 屹立，高聳
trace	n. 痕跡，跟蹤，追溯
tractable	adj. 易架馭的，溫順的
tragedy	n. 悲劇
trait	n. 特點，特性
traitor	n. 叛徒，賣國賊
trample	n. 踐踏，蹂躪
tranquil	adj. 安靜的
transact	v. 處理
transaction	n. 交易
transcend	v. 超越
transcript	n. 成績單
transfix	v. 刺穿
transform	v. 使變形，變換
transient	adj. 短暫的，過路的
transition	n. 轉變，變遷，過渡
transitory	adj. 短暫的
transparent	adj. 透明
transpire	v. 發散，排出，洩漏
trap	v. 誘捕，陷害，陷阱
trash	n. 垃圾
traverse	v. 走過，反對
treason	n. 通敵，叛國罪
treatment	n. 治療
tremble	v. 發抖，搖晃
tremendous	adj. 巨大的，驚人的
tremor	v.n. 顫抖，顫慄
trend	n. 傾向，趨勢
trepidation	n. 驚恐，顫慄
trial	n. 審判，試驗性的
triangle	n. 三角形
trickle	v. 滴，淌，細流
trifling	adj. 微小的
triumph	n. 成功
trivial	adj. 微不足道的
trot	v. 小跑，慢跑
trudge	v. 跋涉, 吃力的走
trying	adj. 難堪的，痛苦的
tug	v. 拖，牽引，拖船
turbulent	adj. 騷動的，騷亂的
turmoil	n. 騷動，混亂
twig	n. 小樹枝
typical	adj. 典型的，有代表性的
ultimate	adj. 最後的
unanimity	n. 全體一致
unanimous	adj. 意見一致的
unbecoming	adj. 不配的，不適當的
unbiased	adj. 公正的
unblemished	adj. 潔白的，無疵的
uncanny	adj. 不可思議的，離奇的
unconscious	adj. 失去知覺的，不察覺的
unconventional	adj. 破例的，自由的
undaunted	adj. 無畏的，勇敢的
underestimate	n. 低估
undertaking	n. 任務，工作
undo	v. 取消，解開，打開
unearth	v. 發掘，發現
unfair	adj. 不公平的
unfortunately	adv. 不幸的
unique	adj. 獨一無二的
universal	adj. 宇宙的，普遍的
universe	n. 宇宙
unruly	adj. 難控制的，不守法的
unseemly	adj. 不適宜的
unshaken	adj. 堅決的，不動搖的
unveil	v. 開幕，揭露
uphold	v. 舉起，支撐
upright	adj. 垂直的，正直的
uprising	v. 叛亂
uproar	n. 騷動，擾亂，喧囂
upset	v. 難過的
urban	adj. 城市的
urge	v. 推進，催促，衝動
urgent	adj. 緊急的，迫切的
useless	adj. 無效的
utility	n. 效用
utilize	v. 利用
vacant	adj. 空的，未被佔用的
vacuum	n. 真空
vague	adj. 模糊的，含糊的
valiant	adj. 英勇的
valid	adj. 有效的，正當的
valor	n. 勇氣
vanish	vt. 消失
vanity	n. 虛榮心
vanquish	v. 征服，克服
variable	n. 變量
variant	adj. 不同的, v. 變量
variation	n. 變化
various	adj. 各種
varnish	n. 油漆
vary	v. 改變
vast	adj. 巨大的，大量的
vault	n. 拱形圓屋頂，地窖
veer	v. 改變方向
vehemence	n. 熱切，激烈
vehement	adj. 猛烈的，激烈的
vein	n. 靜脈，血管, 礦脈
venerate	v. 敬拜，崇拜
ventilation	n. 通風
venture	n.v. 冒險，冒昧
verdict	n. 判決
verify	v. 驗證
versatile	adj. 多才多藝的
verse	n. 詩，韻文
version	n. 說法，版本
vertical	adj. 垂直的
vestige	n. 痕跡，遺跡
veteran	n. 老兵，老手
veto	v. 否決，否決權，禁止
vex	v. 使煩惱
vibration	n. 震動
vigilant	adj. 警惕者的，清醒的
vigor	n. 精力
vigorous	adj. 朝氣蓬勃的
vindicate	v. 辨明，主張
violate	v. 違犯，違背，侵犯
violation	n. 違犯
violent	adj. 激烈的
virtually	adj. 幾乎
virtue	n. 美德
virtuous	adj. 貞節的
vital	adj. 極重要的，生命的
vivid	adj. 生動的
vocation	n. 職業，行業
vogue	n. 流行
void	adj. 空間，空的
volcano	n. 火山
volume	n. 體積，容積
voluntary	adj. 自願的，志願的
volunteer	n. 志願者，adj. 志願的
vote	n.v. 投票
vulgar	adj. 平庸的
vulgarity	n. 粗俗
vulnerable	adj. 易受攻擊的
waddle	v. 蹣跚而行
wade	v. 涉水
wag	v. 搖擺
wand	n. 棒，指揮棒，魔棒
wane	v. 衰減
ware	n. 陶器
warily	adj. 小心的
warn	v. 警告
warrant	v. 保證，權限
warranty	n. 擔保，保證
wary	adj. 機警，小心的
watch	n. 注視，見識，看守
waver	n. 動搖，猶豫
weather	v. 風化，侵蝕
weird	adj. 奇異的
welfare	n. 福利
wheedle	v. 勸誘，哄騙
whim	n. 奇想
whir	v. 急速旋轉
whit	n. 一點
wholesome	adj. 有意健康的
wield	v. 支配，控制
wistful	adj. 渴望的
wit	n. 智力，才智, 智能
withdraw	v. 止回
wither	v. 枯萎，使凋謝
